epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,85.8844,1.3394,0.82517,1.21198,0.95078,0.92,0.9409,0.44482,1.83198,0.78042,1.56173,0.00165944,0.00165944,0.00165944
88,86.8538,1.22653,0.82414,1.15852,0.79272,0.92,0.89822,0.4581,1.66338,0.85067,1.55137,0.00165548,0.00165548,0.00165548
89,87.8081,1.17207,0.75446,1.1536,0.79626,0.96,0.90737,0.40325,1.74952,0.9391,1.58955,0.00165152,0.00165152,0.00165152
90,88.767,1.35458,0.8787,1.32505,0.92268,0.9549,0.95207,0.47199,1.73616,0.81917,1.51383,0.00164756,0.00164756,0.00164756
91,89.7282,1.26285,0.76827,1.1867,0.91331,0.96,0.9469,0.46445,1.65047,0.80104,1.45439,0.0016436,0.0016436,0.0016436
92,90.6879,1.2575,0.71733,1.15057,0.87768,0.92,0.86045,0.32426,1.92638,0.88051,1.73919,0.00163964,0.00163964,0.00163964
93,91.6456,1.30031,0.73556,1.19009,0.91296,0.92,0.8949,0.38011,1.86032,0.84918,1.70959,0.00163568,0.00163568,0.00163568
94,92.6085,1.2625,0.78013,1.26782,0.95726,1,0.99192,0.48169,1.76509,0.74612,1.59809,0.00163172,0.00163172,0.00163172
95,93.5695,1.1689,0.73946,1.1588,0.9256,0.99539,0.98611,0.4783,1.83705,0.82314,1.70544,0.00162776,0.00162776,0.00162776
96,94.5301,1.09375,0.68536,1.11786,0.90168,0.92,0.92445,0.47987,1.67305,0.9204,1.60304,0.0016238,0.0016238,0.0016238
97,95.4815,1.21831,0.74251,1.12884,0.85581,0.96,0.90001,0.46477,1.76355,0.8649,1.64475,0.00161984,0.00161984,0.00161984
98,96.4435,1.0465,0.69637,1.09121,0.92446,0.97941,0.99204,0.4864,1.60189,0.81067,1.52243,0.00161588,0.00161588,0.00161588
99,97.4078,1.17851,0.69552,1.11899,0.95073,0.96,0.91756,0.40635,1.77683,0.79032,1.66349,0.00161192,0.00161192,0.00161192
100,98.3708,1.18515,0.68522,1.1337,0.93801,0.92,0.91162,0.40031,1.83532,0.77116,1.74466,0.00160796,0.00160796,0.00160796
101,99.3263,1.12692,0.66894,1.13764,0.95347,0.92,0.91434,0.39298,1.85303,0.81168,1.76757,0.001604,0.001604,0.001604
102,100.283,1.19543,0.8489,1.19528,0.94441,0.96,0.91889,0.41094,1.77467,0.77662,1.66197,0.00160004,0.00160004,0.00160004
103,101.24,1.1523,0.68674,1.11962,0.88452,0.92,0.85496,0.34087,2.03086,0.77549,1.75685,0.00159608,0.00159608,0.00159608
104,102.198,1.13075,0.67656,1.08083,0.94782,0.88,0.91519,0.40938,1.93355,0.79172,1.68323,0.00159212,0.00159212,0.00159212
