epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,299.373,1.31238,0.62879,0.97934,0.90734,0.98333,0.96782,0.55117,1.47607,0.79132,1.05904,0.00165944,0.00165944,0.00165944
88,302.974,1.31503,0.63409,0.971,0.92711,0.98333,0.97878,0.57126,1.44751,0.6969,1.05691,0.00165548,0.00165548,0.00165548
89,306.564,1.26932,0.61352,0.99231,0.91325,0.95833,0.97165,0.55519,1.47666,0.6859,1.05012,0.00165152,0.00165152,0.00165152
90,310.16,1.28227,0.61992,0.96676,0.92167,0.98058,0.96883,0.57734,1.44818,0.65945,1.07247,0.00164756,0.00164756,0.00164756
91,313.995,1.32062,0.61165,0.98261,0.9432,0.96667,0.98011,0.55946,1.48816,0.6697,1.12133,0.0016436,0.0016436,0.0016436
92,317.608,1.33996,0.63994,0.98253,0.9144,0.97921,0.97346,0.56913,1.4914,0.6949,1.06681,0.00163964,0.00163964,0.00163964
93,321.18,1.32895,0.66073,0.969,0.94805,0.975,0.97746,0.58376,1.50354,0.67849,1.118,0.00163568,0.00163568,0.00163568
94,324.776,1.30953,0.64194,0.96277,0.94379,0.9794,0.98106,0.56657,1.48389,0.66651,1.07287,0.00163172,0.00163172,0.00163172
95,328.342,1.29718,0.60867,0.99144,0.95719,0.96667,0.98002,0.56307,1.45603,0.66677,1.04056,0.00162776,0.00162776,0.00162776
96,332.152,1.28095,0.60698,0.97275,0.966,0.96667,0.98257,0.57869,1.46679,0.67859,1.05031,0.0016238,0.0016238,0.0016238
97,336.033,1.26758,0.61359,0.96964,0.94394,0.98218,0.98087,0.57909,1.45457,0.71597,1.05172,0.00161984,0.00161984,0.00161984
98,339.647,1.2735,0.61127,0.97583,0.94861,0.95833,0.9777,0.54684,1.51151,0.68904,1.07577,0.00161588,0.00161588,0.00161588
99,343.219,1.24352,0.5824,0.98006,0.94673,0.95833,0.98152,0.5672,1.43641,0.68217,1.03857,0.00161192,0.00161192,0.00161192
100,346.842,1.26115,0.59963,0.97798,0.93756,0.975,0.97857,0.57145,1.5019,0.6758,1.05963,0.00160796,0.00160796,0.00160796
101,350.428,1.21875,0.57755,0.97599,0.94321,0.96883,0.97918,0.58946,1.43895,0.64774,1.01859,0.001604,0.001604,0.001604
